Bit_Ke, Bit_Alice, Basis_Alice, Basis_Bob, Bit0_Bob, Bit1_Bob, Bit_Bob
1, 1, 0, 1, 3.40279e-05, 3.46251e-05, x
2, 0, 0, 1, 3.42666e-05, 3.438e-05, x
3, 0, 1, 0, 3.42731e-05, 3.53674e-05, x
4, 0, 1, 0, 3.42731e-05, 3.53674e-05, x
5, 1, 0, 1, 3.40279e-05, 3.46251e-05, x
6, 1, 1, 1, 4.04002e-08, 6.80579e-05, 1
7, 0, 1, 1, 6.91929e-05, 2.38511e-08, 0
8, 1, 1, 1, 4.04002e-08, 6.80579e-05, 1
9, 1, 0, 1, 3.40279e-05, 3.46251e-05, x
10, 1, 1, 0, 3.54127e-05, 3.22832e-05, x
11, 0, 0, 0, 6.87765e-05, 5.61613e-09, 0
12, 1, 1, 0, 3.54127e-05, 3.22832e-05, x
13, 0, 0, 1, 3.42666e-05, 3.438e-05, x
14, 1, 0, 1, 3.40279e-05, 3.46251e-05, x
15, 0, 0, 0, 6.87765e-05, 5.61613e-09, 0
16, 0, 0, 1, 3.42666e-05, 3.438e-05, x
17, 0, 1, 1, 6.91929e-05, 2.38511e-08, 0
18, 0, 0, 1, 3.42666e-05, 3.438e-05, x
19, 1, 0, 0, 4.54473e-09, 6.85197e-05, 1
20, 0, 1, 1, 6.91929e-05, 2.38511e-08, 0
21, 0, 0, 0, 6.87765e-05, 5.61613e-09, 0
22, 1, 1, 1, 4.04002e-08, 6.80579e-05, 1
23, 0, 1, 0, 3.42731e-05, 3.53674e-05, x
24, 1, 0, 0, 4.54473e-09, 6.85197e-05, 1
