Bit_Ke, Bit_Alice, Basis_Alice, Basis_Bob, Bit0_Bob, Bit1_Bob, Bit_Bob
1, 1, 0, 1, 3.51044e-05, 3.60256e-05, x
2, 0, 0, 1, 3.02654e-05, 4.22903e-05, x
3, 0, 1, 0, 4.0348e-05, 3.67275e-05, x
4, 0, 1, 1, 6.90981e-05, 2.2505e-08, 0
5, 1, 0, 0, 2.35893e-07, 7.57407e-05, 1
6, 0, 1, 1, 6.49749e-05, 2.1203e-07, 0
7, 0, 0, 1, 2.89461e-05, 3.57859e-05, x
8, 1, 1, 1, 2.44052e-07, 6.34557e-05, 1
9, 1, 1, 1, 4.16587e-08, 6.80604e-05, 1
10, 0, 1, 0, 4.199e-05, 3.11107e-05, x
11, 1, 1, 0, 3.16557e-05, 3.96047e-05, x
12, 0, 0, 0, 7.61861e-05, 2.0074e-07, 0
